Order_ID,Customer,Country,Region,Sales_Person,Product,Category,Amount,Currency,Order_Date,Payment_Method,Order_Status
10001,Client_570,UK,EMEA,Michael Chen,iPhone 15 Pro,Electronics,999,USD,11/03/2023,Credit Card,Pending
10002,Client_47,Australia,APAC,David Okoro,Thunderbolt Dock,Accessories,299,USD,2024.02.29,Crypto,Cancelled
10003,Client_375,Germany,EMEA,Yuki Tanaka,Herman Miller Chair,Furniture,,USD,2023-14-32,Crypto,Completed
10004,Client_741,Australia,APAC,Michael Chen,MacBook Pro M3,Electronics,2499,USD,05/11/2023,Crypto,Completed
10005,Client_896,Germany,EMEA,Michael Chen,Thunderbolt Dock,Accessories,299,EUR,2023.03.24,Wire Transfer,Pending
10006,Client_704,UK,EMEA,Michael Chen,Herman Miller Chair,Furniture,1450,USD,10/03/2024,PayPal,Completed
10007,Client_498,USA,North America,David Okoro,MacBook Pro M3,Electronics,2499,USD,30/09/2023,Crypto,In Review
10008,Client_899,USA,North America,David Okoro,Logitech MX Master,Accessories,99,USD,12/03/2024,Credit Card,Completed
10009,Client_348,Japan,APAC,Yuki Tanaka,Samsung S23 Ultra,Electronics,1199,EUR,06/30/2023,Credit Card,Completed
10010,Client_623,Germany,EMEA,Sarah Jenkins,Sony WH-1000XM5,Accessories,399,EUR,N/A,Credit Card,Completed
10011,Client_204,Japan,APAC,David Okoro,Samsung S23 Ultra,Electronics,1199,NGN,2024.02.16,Wire Transfer,Pending
10012,Client_189,UK,EMEA,Sarah Jenkins,MacBook Pro M3,Electronics,2499,EUR,"Sep 18, 2023",Credit Card,Cancelled
10013,Client_698,Japan,APAC,David Okoro,Conference Table,Furniture,2100,USD,02/10/2023,Crypto,Completed
10014,Client_600,USA,North America,Elena Rodriguez,Network Switch,Infrastructure,4500,USD,N/A,Credit Card,Completed
10015,Client_501,Canada,North America,Elena Rodriguez,Conference Table,Furniture,2100,JPY,01/29/2024,Credit Card,Cancelled
10016,Client_243,Nigeria,Africa,Elena Rodriguez,iPhone 15 Pro,Electronics,999,NGN,"Feb 27, 2023",Crypto,In Review
10017,Client_120,Germany,EMEA,Yuki Tanaka,Enterprise Server,Infrastructure,15200,USD,2023-14-32,PayPal,In Review
10018,Client_654,USA,North America,Yuki Tanaka,Herman Miller Chair,Furniture,1450,USD,2023.04.03,PayPal,In Review
10019,Client_870,Canada,North America,Sarah Jenkins,Network Switch,Infrastructure,,USD,05/25/2023,Credit Card,Cancelled
